pilot_id,document_id,config,model,reasoning_effort,predicted_labels,error,run_id
1,500,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Landscape, Visual and Heritage Impact"", ""Noise"", ""Agricultural Land"", ""Residential Proximity and Separation Distance""]",,1
9,1970,terra_low,gpt-5.6-terra,low,"[""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Consultation, Transparency and Information"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Community and Economic Benefits""]",,1
10,3059,terra_low,gpt-5.6-terra,low,"[""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Project Need"", ""Residential Proximity and Separation Distance""]",,1
13,1578,terra_low,gpt-5.6-terra,low,"[""Landscape, Visual and Heritage Impact"", ""Site Selection""]",,1
16,1010,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Fire and Explosion Risk"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Noise"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Residential Proximity and Separation Distance""]",,1
18,2870,terra_low,gpt-5.6-terra,low,"[""Wildlife and Ecology"", ""Traffic"", ""Fire and Explosion Risk"", ""Landscape, Visual and Heritage Impact"", ""Consultation, Transparency and Information"", ""Emergency Planning and Response"", ""Water and Soil Contamination"", ""Cumulative Impact"", ""Light Pollution"", ""Noise"", ""Health and Wellbeing"", ""Planning Policy and Regulatory Compliance"", ""Site Selection"", ""Decommissioning and Site Restoration"", ""Residential Proximity and Separation Distance""]",,1
24,638,terra_low,gpt-5.6-terra,low,"[""Landscape, Visual and Heritage Impact""]",,1
25,1605,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Landscape, Visual and Heritage Impact"", ""Site Selection""]",,1
28,2302,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Fire and Explosion Risk"", ""Emergency Planning and Response"", ""Health and Wellbeing"", ""Project Need""]",,1
29,2518,terra_low,gpt-5.6-terra,low,"[""Project Need""]",,1
1,500,terra_low,gpt-5.6-terra,low,"[""Traffic"", ""Landscape, Visual and Heritage Impact"", ""Noise"", ""Agricultural Land"", ""Residential Proximity and Separation Distance""]",,2
